merchant_id,business_name,owner_name,category,city,city_tier,tenure_months,active_days_per_month,daily_tx_count,avg_ticket_size,ticket_size_variance,monthly_upi_volume,repeat_customer_ratio,cashflow_volatility_cv,uses_audio_soundbox,failed_dispute_rate,weekend_stability_ratio,prior_svanidhi_tier,on_time_repayment_ratio,prob_default,default_label,setu_score,risk_category,recommended_tranche
MERCH_0020,Dosa Corner Fast Food & Chaat,Dosa Corner Singh,street_food,Delhi NCR,1,23,27,96,107.41,33.46,278406,0.371,0.381,1,0.42,0.87,2,0.87,0.0,0,890,Prime,50000
MERCH_0021,Pooja Pushp Bhandar,Pooja Kumar,flower_vendor,Varanasi,3,19,26,61,29.41,8.05,46644,0.786,0.545,1,0.54,1.08,0,1.0,0.0304,0,890,Prime,50000
MERCH_0022,Kamla Pushp Bhandar,Kamla Singh,flower_vendor,Ahmedabad,2,9,20,68,84.89,14.66,115450,0.85,0.202,1,0.06,1.2,0,1.0,0.0019,0,887,Near-Prime,20000
MERCH_0023,Kamla Pushp Bhandar,Kamla Singh,flower_vendor,Ahmedabad,2,1,27,49,23.41,11.04,30971,0.629,0.329,1,2.6,1.38,0,1.0,0.1764,0,812,Near-Prime,20000
MERCH_0024,Santosh Fresh Vegetables,Santosh Kumar,vegetable_vendor,Delhi NCR,1,1,22,93,99.65,16.11,203883,0.381,0.428,1,1.06,1.31,0,1.0,0.0013,0,890,Near-Prime,20000
MERCH_0025,Aggarwal Fast Food & Chaat,Aggarwal Kumar,street_food,Ahmedabad,2,5,27,68,44.02,23.69,80820,0.227,0.267,1,0.09,1.38,0,1.0,0.0239,0,890,Near-Prime,20000
MERCH_0026,Mishra Chai & Snacks,Mishra Kumar,chai_stall,Mumbai,1,6,25,112,49.25,7.65,137900,0.637,0.222,1,0.28,0.98,0,1.0,0.003,0,890,Near-Prime,20000
MERCH_0027,Suresh City Transport,Suresh Singh,auto_rickshaw,Lucknow,2,20,28,39,49.14,20.87,53660,0.625,0.416,1,0.12,1.28,0,1.0,0.0124,0,890,Prime,50000
MERCH_0028,Suresh City Transport,Suresh Singh,auto_rickshaw,Indore,2,1,25,30,70.52,39.56,52890,0.481,0.146,1,1.34,1.41,0,1.0,0.0204,0,890,Near-Prime,20000
MERCH_0029,Laxmi Fresh Vegetables,Laxmi Singh,vegetable_vendor,Ahmedabad,2,76,22,92,53.13,32.05,107535,0.775,0.319,1,0.05,0.83,2,0.95,0.0006,0,888,Prime,50000
MERCH_0030,Sunita Fresh Vegetables,Sunita Kumar,vegetable_vendor,Patna,2,6,26,52,144.11,91.02,194836,0.605,0.323,1,0.79,1.24,0,1.0,0.0005,0,890,Near-Prime,20000
MERCH_0031,Irfan City Transport,Irfan Kumar,auto_rickshaw,Patna,2,10,29,49,62.18,28.61,88357,0.708,0.157,1,0.7,0.8,0,1.0,0.0046,0,890,Near-Prime,20000
MERCH_0032,Chai Point Chai & Snacks,Chai Point Kumar,chai_stall,Delhi NCR,1,6,30,128,51.6,11.94,198144,0.195,0.462,1,3.49,0.86,0,1.0,0.0047,0,890,Near-Prime,20000
MERCH_0033,Ganesh Provision & Kirana,Ganesh Kumar,kirana_store,Patna,2,16,26,48,245.64,94.41,306558,0.629,0.313,1,1.34,1.45,2,0.86,0.0,0,890,Prime,50000
MERCH_0034,Om Sai Provision & Kirana,Om Sai Kumar,kirana_store,Indore,2,10,27,34,272.55,132.42,250200,0.213,0.506,1,0.59,1.35,0,1.0,0.0002,0,890,Near-Prime,20000
MERCH_0035,Kisaan Provision & Kirana,Kisaan Singh,kirana_store,Indore,2,14,29,57,146.27,24.05,241784,0.349,0.425,1,0.12,0.76,1,0.99,0.0001,0,886,Prime,50000
MERCH_0036,Balaji Provision & Kirana,Balaji Kumar,kirana_store,Varanasi,3,12,27,39,375.18,172.97,395064,0.331,0.08,1,0.8,0.92,2,0.96,0.0,0,890,Prime,50000
MERCH_0037,Aggarwal Fast Food & Chaat,Aggarwal Singh,street_food,Jaipur,2,40,30,71,75.27,12.83,160325,0.647,0.253,1,0.1,1.07,1,0.96,0.0002,0,886,Prime,50000
MERCH_0038,Pooja Pushp Bhandar,Pooja Singh,flower_vendor,Delhi NCR,1,37,25,65,39.01,20.45,63391,0.599,0.138,1,0.5,1.27,0,1.0,0.0089,0,890,Prime,50000
MERCH_0039,Kisaan Provision & Kirana,Kisaan Singh,kirana_store,Patna,2,1,28,34,222.53,92.59,211848,0.493,0.08,1,0.25,1.01,0,1.0,0.0001,0,885,Near-Prime,20000
MERCH_0040,Kisaan Provision & Kirana,Kisaan Kumar,kirana_store,Ahmedabad,2,2,20,61,316.67,155.03,386337,0.383,0.503,1,0.45,0.84,0,1.0,0.0,0,890,Near-Prime,20000
MERCH_0041,Suresh City Transport,Suresh Kumar,auto_rickshaw,Jaipur,2,6,30,21,30.23,19.45,19044,0.732,0.291,1,0.23,0.86,0,1.0,0.0291,0,870,Near-Prime,20000
MERCH_0042,Raju City Transport,Raju Kumar,auto_rickshaw,Delhi NCR,1,3,21,16,85.48,54.81,28721,0.691,0.251,1,0.15,1.22,0,1.0,0.0509,0,872,Near-Prime,20000
MERCH_0043,Irfan City Transport,Irfan Singh,auto_rickshaw,Lucknow,2,47,30,49,94.4,22.99,138768,0.432,0.08,1,0.1,1.18,0,1.0,0.0004,0,890,Prime,50000
MERCH_0044,Shree Ram Chai & Snacks,Shree Ram Kumar,chai_stall,Patna,2,3,18,155,18.37,3.23,51252,0.519,0.441,1,0.24,1.23,0,1.0,0.0456,0,867,Near-Prime,20000
MERCH_0045,Deepak City Transport,Deepak Kumar,auto_rickshaw,Delhi NCR,1,25,22,66,32.02,19.68,46493,0.407,0.331,1,0.06,1.27,2,0.89,0.0249,0,890,Prime,50000
MERCH_0046,Dosa Corner Fast Food & Chaat,Dosa Corner Singh,street_food,Patna,2,3,23,83,136.15,56.03,259910,0.721,0.08,1,0.5,0.96,0,1.0,0.0,0,890,Near-Prime,20000
MERCH_0047,Laxmi Fresh Vegetables,Laxmi Kumar,vegetable_vendor,Ahmedabad,2,24,18,68,109.05,45.99,133477,0.789,0.354,1,0.79,0.98,0,1.0,0.0022,0,890,Prime,50000
MERCH_0048,Irfan City Transport,Irfan Singh,auto_rickshaw,Mumbai,1,17,23,53,67.17,36.56,81880,0.655,0.329,1,1.15,1.36,0,1.0,0.0107,0,890,Prime,50000
MERCH_0049,Chai Point Chai & Snacks,Chai Point Kumar,chai_stall,Patna,2,7,30,74,29.5,15.08,65490,0.325,0.441,1,0.23,0.99,0,1.0,0.015,0,890,Near-Prime,20000
MERCH_0050,Kamla Pushp Bhandar,Kamla Singh,flower_vendor,Ahmedabad,2,11,30,49,143.95,65.6,211606,0.49,0.225,1,0.69,1.17,0,1.0,0.0002,0,890,Near-Prime,20000
MERCH_0051,Mishra Chai & Snacks,Mishra Kumar,chai_stall,Ahmedabad,2,9,25,102,33.76,6.98,86088,0.365,0.383,1,0.05,0.98,0,1.0,0.0089,0,889,Near-Prime,20000
MERCH_0052,Mishra Chai & Snacks,Mishra Singh,chai_stall,Mumbai,1,13,18,113,45.0,14.56,91530,0.323,0.291,1,0.55,1.04,2,0.71,0.0108,0,886,Prime,50000
MERCH_0053,Kamla Pushp Bhandar,Kamla Kumar,flower_vendor,Ahmedabad,2,1,20,54,36.32,23.55,39225,0.663,0.338,1,0.19,1.38,0,1.0,0.0346,0,890,Near-Prime,20000
MERCH_0054,Mishra Chai & Snacks,Mishra Kumar,chai_stall,Mumbai,1,1,22,182,22.48,4.11,90009,0.35,0.47,1,0.13,0.88,0,1.0,0.0101,0,880,Near-Prime,20000
MERCH_0055,Dosa Corner Fast Food & Chaat,Dosa Corner Singh,street_food,Lucknow,2,35,24,87,125.6,44.51,262252,0.32,0.227,1,0.05,0.91,2,0.97,0.0,0,890,Prime,50000
MERCH_0056,Ramesh Chai & Snacks,Ramesh Singh,chai_stall,Mumbai,1,19,26,109,31.93,8.67,90489,0.601,0.19,1,0.28,1.38,0,1.0,0.0045,0,884,Prime,50000
MERCH_0057,Chaat Chatori Fast Food & Chaat,Chaat Chatori Kumar,street_food,Lucknow,2,1,18,114,54.77,18.61,112388,0.361,0.15,1,0.64,1.06,0,1.0,0.0073,0,890,Near-Prime,20000
MERCH_0058,Mukesh Chai & Snacks,Mukesh Singh,chai_stall,Varanasi,3,25,24,105,34.57,19.01,87116,0.539,0.158,1,0.12,1.33,0,1.0,0.0045,0,890,Prime,50000
MERCH_0059,Om Sai Provision & Kirana,Om Sai Singh,kirana_store,Lucknow,2,74,19,53,114.64,48.96,115442,0.71,0.383,1,0.12,1.38,2,0.76,0.0005,0,885,Prime,50000
MERCH_0060,Laxmi Fresh Vegetables,Laxmi Singh,vegetable_vendor,Varanasi,3,13,19,48,129.92,58.67,118487,0.73,0.203,1,0.67,1.08,2,0.9,0.0031,0,889,Prime,50000
MERCH_0061,Gayatri Pushp Bhandar,Gayatri Singh,flower_vendor,Mumbai,1,1,27,34,49.89,22.37,45799,0.544,0.349,1,1.04,1.1,0,1.0,0.0444,0,868,Near-Prime,20000
MERCH_0062,Hari Om Fresh Vegetables,Hari Om Kumar,vegetable_vendor,Jaipur,2,5,30,72,148.49,73.85,320738,0.85,0.311,1,0.16,1.13,0,1.0,0.0,0,890,Near-Prime,20000
MERCH_0063,Radha Fresh Vegetables,Radha Kumar,vegetable_vendor,Delhi NCR,1,37,28,89,200.74,115.34,500244,0.703,0.418,1,0.05,1.24,2,0.88,0.0,0,890,Prime,50000
MERCH_0064,Kamla Pushp Bhandar,Kamla Kumar,flower_vendor,Indore,2,33,28,37,51.96,13.77,53830,0.483,0.263,1,1.03,0.8,2,0.99,0.0239,0,877,Prime,50000
MERCH_0065,Irfan City Transport,Irfan Kumar,auto_rickshaw,Ahmedabad,2,17,26,37,99.54,61.67,95757,0.794,0.43,1,3.31,1.29,2,0.69,0.0374,0,878,Prime,50000
MERCH_0066,Pravin City Transport,Pravin Singh,auto_rickshaw,Mumbai,1,2,19,34,43.5,7.44,28101,0.477,0.348,1,0.91,0.9,0,1.0,0.1173,0,822,Near-Prime,20000
MERCH_0067,Pooja Pushp Bhandar,Pooja Singh,flower_vendor,Indore,2,38,21,44,65.49,29.91,60512,0.504,0.258,1,0.17,1.3,1,0.64,0.0125,0,890,Prime,50000
MERCH_0068,Apna Provision & Kirana,Apna Singh,kirana_store,Mumbai,1,3,22,78,238.6,106.53,409437,0.45,0.273,1,2.49,1.35,0,1.0,0.0,0,890,Near-Prime,20000
MERCH_0069,Gupta Ji Chai & Snacks,Gupta Ji Kumar,chai_stall,Ahmedabad,2,14,29,95,25.43,8.55,70059,0.801,0.403,1,0.06,1.35,2,0.88,0.0124,0,890,Prime,50000
MERCH_0070,Laxmi Fresh Vegetables,Laxmi Singh,vegetable_vendor,Patna,2,5,30,62,135.6,64.98,252216,0.604,0.486,1,0.14,1.37,0,1.0,0.0001,0,890,Near-Prime,20000
MERCH_0071,Laxmi Fresh Vegetables,Laxmi Singh,vegetable_vendor,Ahmedabad,2,36,23,53,91.07,50.91,111014,0.67,0.32,1,0.77,1.44,0,1.0,0.0015,0,890,Prime,50000
MERCH_0072,Pravin City Transport,Pravin Kumar,auto_rickshaw,Varanasi,3,18,27,44,70.8,14.41,84110,0.403,0.393,1,0.09,1.41,1,0.89,0.0103,0,890,Prime,50000
MERCH_0073,Gupta Ji Chai & Snacks,Gupta Ji Singh,chai_stall,Ahmedabad,2,1,17,123,28.88,16.92,60388,0.542,0.257,1,0.05,0.98,0,1.0,0.0425,0,864,Near-Prime,20000
MERCH_0074,Ram Prasad Fresh Vegetables,Ram Prasad Singh,vegetable_vendor,Ahmedabad,2,20,24,37,101.99,66.15,90567,0.775,0.197,1,0.07,1.23,0,1.0,0.0033,0,890,Prime,50000
MERCH_0075,Pravin City Transport,Pravin Kumar,auto_rickshaw,Mumbai,1,19,24,32,62.09,29.14,47685,0.532,0.295,1,0.19,0.77,0,1.0,0.0125,0,890,Prime,50000
MERCH_0076,Kisaan Provision & Kirana,Kisaan Kumar,kirana_store,Jaipur,2,35,30,61,217.47,52.79,397970,0.556,0.397,1,0.11,0.77,0,1.0,0.0,0,890,Prime,50000
MERCH_0077,Mukesh Chai & Snacks,Mukesh Kumar,chai_stall,Indore,2,45,29,107,23.17,4.93,71896,0.78,0.282,1,0.05,1.16,1,0.95,0.0022,0,890,Prime,50000
MERCH_0078,Laxmi Fresh Vegetables,Laxmi Kumar,vegetable_vendor,Mumbai,1,16,15,99,77.48,44.94,115057,0.449,0.32,1,0.77,1.24,2,0.92,0.0087,0,890,Prime,50000
MERCH_0079,Ganesh Provision & Kirana,Ganesh Kumar,kirana_store,Indore,2,1,24,44,237.89,117.69,251211,0.506,0.267,1,0.81,1.24,0,1.0,0.0001,0,890,Near-Prime,20000
MERCH_0080,Mahadev Provision & Kirana,Mahadev Singh,kirana_store,Jaipur,2,22,22,59,288.94,159.17,375044,0.763,0.478,1,0.48,1.2,0,1.0,0.0,0,890,Prime,50000
MERCH_0081,Raju City Transport,Raju Kumar,auto_rickshaw,Jaipur,2,13,23,36,43.02,23.44,35620,0.199,0.308,1,0.21,1.45,1,0.86,0.0722,0,854,Prime,50000
MERCH_0082,Anand Fast Food & Chaat,Anand Kumar,street_food,Varanasi,3,36,18,88,127.62,46.29,202150,0.66,0.347,1,0.46,1.26,0,1.0,0.0003,0,889,Prime,50000
MERCH_0083,Pooja Pushp Bhandar,Pooja Kumar,flower_vendor,Patna,2,12,18,32,68.87,17.58,39669,0.418,0.413,1,1.01,1.39,1,0.91,0.1181,0,827,Prime,50000
MERCH_0084,Ganesh Provision & Kirana,Ganesh Singh,kirana_store,Indore,2,5,29,52,336.5,137.09,507442,0.85,0.165,1,1.19,0.84,0,1.0,0.0,0,890,Near-Prime,20000
MERCH_0085,Pravin City Transport,Pravin Kumar,auto_rickshaw,Indore,2,63,18,32,28.12,15.87,16197,0.519,0.153,1,0.15,0.87,0,1.0,0.0126,0,890,Prime,50000
MERCH_0086,Ganesh Provision & Kirana,Ganesh Singh,kirana_store,Indore,2,33,30,60,369.86,216.05,665748,0.575,0.407,1,0.05,0.84,1,0.89,0.0,0,890,Prime,50000
MERCH_0087,Laxmi Fresh Vegetables,Laxmi Kumar,vegetable_vendor,Ahmedabad,2,1,25,76,113.76,46.39,216144,0.806,0.368,1,0.29,1.24,0,1.0,0.0002,0,890,Near-Prime,20000
MERCH_0088,Meena Pushp Bhandar,Meena Singh,flower_vendor,Indore,2,63,20,48,38.54,14.33,36998,0.522,0.338,1,0.55,1.18,1,0.92,0.0186,0,890,Prime,50000
MERCH_0089,Balaji Provision & Kirana,Balaji Singh,kirana_store,Delhi NCR,1,21,20,76,142.28,67.67,216265,0.624,0.29,1,0.67,1.27,1,0.73,0.0003,0,890,Prime,50000
MERCH_0090,Om Sai Provision & Kirana,Om Sai Kumar,kirana_store,Varanasi,3,28,27,66,198.16,41.63,353121,0.554,0.511,1,0.39,1.06,2,0.96,0.0,0,890,Prime,50000
MERCH_0091,Balaji Provision & Kirana,Balaji Kumar,kirana_store,Ahmedabad,2,16,29,80,89.48,52.05,207593,0.557,0.318,1,0.38,1.03,0,1.0,0.0003,0,890,Prime,50000
MERCH_0092,Dosa Corner Fast Food & Chaat,Dosa Corner Kumar,street_food,Patna,2,16,30,86,113.3,57.68,292314,0.628,0.23,1,0.53,0.93,0,1.0,0.0,0,885,Prime,50000
MERCH_0093,Sunita Fresh Vegetables,Sunita Singh,vegetable_vendor,Patna,2,6,28,47,55.85,25.42,73498,0.714,0.13,1,0.16,1.23,0,1.0,0.0049,0,890,Near-Prime,20000
MERCH_0094,Kamla Pushp Bhandar,Kamla Singh,flower_vendor,Mumbai,1,22,19,58,34.37,9.56,37875,0.497,0.335,1,2.42,1.17,0,1.0,0.1102,0,836,Prime,50000
MERCH_0095,Ram Prasad Fresh Vegetables,Ram Prasad Singh,vegetable_vendor,Mumbai,1,30,23,88,146.55,52.1,296617,0.432,0.41,1,1.21,0.94,0,1.0,0.0,0,890,Prime,50000
MERCH_0096,Pravin City Transport,Pravin Singh,auto_rickshaw,Indore,2,19,29,37,47.54,17.87,51010,0.363,0.298,1,0.05,1.2,1,0.98,0.0219,0,876,Prime,50000
MERCH_0097,Kamla Pushp Bhandar,Kamla Singh,flower_vendor,Ahmedabad,2,16,26,47,59.02,20.78,72122,0.341,0.452,1,0.11,0.82,1,0.7,0.0269,0,882,Prime,50000
MERCH_0098,Raju City Transport,Raju Kumar,auto_rickshaw,Indore,2,4,20,29,60.06,24.6,34834,0.83,0.081,1,0.32,1.22,0,1.0,0.0191,0,885,Near-Prime,20000
MERCH_0099,Shree Ram Chai & Snacks,Shree Ram Kumar,chai_stall,Indore,2,92,27,143,31.54,5.68,121775,0.85,0.396,1,0.08,1.07,2,0.65,0.0003,0,890,Prime,50000
MERCH_0100,Ram Prasad Fresh Vegetables,Ram Prasad Singh,vegetable_vendor,Indore,2,88,23,66,163.94,93.61,248860,0.751,0.336,1,1.22,1.25,0,1.0,0.0,0,890,Prime,50000
MERCH_0101,Pravin City Transport,Pravin Kumar,auto_rickshaw,Jaipur,2,1,20,25,49.04,30.33,24520,0.682,0.128,0,0.73,1.11,0,1.0,0.096,0,841,Near-Prime,20000
MERCH_0102,Sharma Fast Food & Chaat,Sharma Kumar,street_food,Patna,2,87,28,63,108.35,66.67,191129,0.604,0.352,1,1.25,0.96,2,0.97,0.0001,0,890,Prime,50000
MERCH_0103,Chai Point Chai & Snacks,Chai Point Kumar,chai_stall,Jaipur,2,7,25,97,31.99,18.59,77575,0.309,0.284,1,0.15,1.1,0,1.0,0.0101,0,890,Near-Prime,20000
MERCH_0104,Bombay Fast Food & Chaat,Bombay Singh,street_food,Varanasi,3,8,23,79,91.96,33.68,167091,0.85,0.175,1,0.77,1.21,0,1.0,0.0006,0,890,Near-Prime,20000
MERCH_0105,Deepak City Transport,Deepak Singh,auto_rickshaw,Delhi NCR,1,2,22,41,51.88,10.93,46795,0.479,0.245,1,0.57,1.45,0,1.0,0.0476,0,882,Near-Prime,20000
MERCH_0106,Ganesh Provision & Kirana,Ganesh Singh,kirana_store,Jaipur,2,6,29,61,549.55,199.51,972153,0.412,0.385,1,1.17,0.76,0,1.0,0.0,0,890,Near-Prime,20000
MERCH_0107,Gayatri Pushp Bhandar,Gayatri Singh,flower_vendor,Jaipur,2,9,23,43,70.62,15.43,69843,0.634,0.316,1,0.48,1.34,0,1.0,0.0149,0,884,Near-Prime,20000
MERCH_0108,Mahadev Provision & Kirana,Mahadev Singh,kirana_store,Patna,2,2,21,67,155.78,60.44,219182,0.668,0.24,1,0.93,1.06,0,1.0,0.0003,0,890,Near-Prime,20000
MERCH_0109,Pravin City Transport,Pravin Singh,auto_rickshaw,Varanasi,3,5,24,38,114.28,68.29,104223,0.788,0.34,1,0.13,1.27,0,1.0,0.0085,0,890,Near-Prime,20000
MERCH_0110,Shakti Pushp Bhandar,Shakti Kumar,flower_vendor,Jaipur,2,1,25,47,41.68,7.75,48974,0.545,0.194,1,0.15,0.82,0,1.0,0.0253,0,890,Near-Prime,20000
MERCH_0111,Sunita Fresh Vegetables,Sunita Singh,vegetable_vendor,Varanasi,3,19,21,71,152.99,52.16,228108,0.683,0.209,1,0.83,1.12,1,0.71,0.0003,0,890,Prime,50000
MERCH_0112,Shakti Pushp Bhandar,Shakti Singh,flower_vendor,Jaipur,2,30,27,32,57.73,18.42,49878,0.778,0.293,1,1.74,1.2,2,0.82,0.0302,0,872,Prime,50000
MERCH_0113,Ram Prasad Fresh Vegetables,Ram Prasad Kumar,vegetable_vendor,Ahmedabad,2,45,28,53,195.0,100.28,289380,0.723,0.38,1,3.34,1.41,1,0.94,0.0001,0,890,Prime,50000
MERCH_0114,Gupta Ji Chai & Snacks,Gupta Ji Kumar,chai_stall,Delhi NCR,1,23,25,171,53.81,21.75,230037,0.85,0.475,1,0.14,1.07,2,0.81,0.0001,0,888,Prime,50000
MERCH_0115,Shree Ram Chai & Snacks,Shree Ram Kumar,chai_stall,Ahmedabad,2,1,30,89,38.85,20.07,103729,0.453,0.187,1,0.65,0.75,0,1.0,0.0038,0,890,Near-Prime,20000
MERCH_0116,Shree Ram Chai & Snacks,Shree Ram Kumar,chai_stall,Ahmedabad,2,57,27,63,22.48,5.05,38238,0.713,0.527,1,1.74,1.17,1,0.62,0.0458,0,864,Prime,50000
MERCH_0117,Sunita Fresh Vegetables,Sunita Singh,vegetable_vendor,Ahmedabad,2,17,29,57,129.02,50.38,213270,0.443,0.237,1,0.66,1.17,1,0.85,0.0001,0,890,Prime,50000
MERCH_0118,Pravin City Transport,Pravin Singh,auto_rickshaw,Indore,2,1,24,46,50.13,25.26,55343,0.395,0.234,1,0.07,0.9,0,1.0,0.012,0,890,Near-Prime,20000
MERCH_0119,Ganesh Provision & Kirana,Ganesh Singh,kirana_store,Ahmedabad,2,16,25,66,463.29,251.49,764428,0.282,0.283,1,0.68,1.16,1,0.95,0.0,0,890,Prime,50000
MERCH_0120,Radha Fresh Vegetables,Radha Kumar,vegetable_vendor,Ahmedabad,2,6,17,86,111.0,63.38,162282,0.715,0.317,1,0.46,1.26,0,1.0,0.0023,0,890,Near-Prime,20000
MERCH_0121,Ramesh Chai & Snacks,Ramesh Kumar,chai_stall,Lucknow,2,26,26,62,41.0,19.62,66092,0.661,0.213,1,1.89,0.92,1,0.95,0.0166,0,883,Prime,50000
MERCH_0122,Dosa Corner Fast Food & Chaat,Dosa Corner Singh,street_food,Ahmedabad,2,1,22,86,57.25,20.36,108317,0.702,0.328,1,2.21,0.79,0,1.0,0.0191,0,882,Near-Prime,20000
MERCH_0123,Chaat Chatori Fast Food & Chaat,Chaat Chatori Kumar,street_food,Patna,2,9,28,51,57.72,24.97,82424,0.635,0.362,1,0.1,0.86,0,1.0,0.0058,0,886,Near-Prime,20000
MERCH_0124,Sharma Fast Food & Chaat,Sharma Kumar,street_food,Lucknow,2,34,21,98,261.15,54.16,537446,0.534,0.221,1,0.49,1.09,2,0.91,0.0,0,890,Prime,50000
MERCH_0125,Mishra Chai & Snacks,Mishra Kumar,chai_stall,Jaipur,2,18,22,94,61.21,23.24,126582,0.681,0.392,1,0.14,0.98,0,1.0,0.0023,0,890,Prime,50000
MERCH_0126,Balaji Provision & Kirana,Balaji Singh,kirana_store,Jaipur,2,4,30,48,269.94,101.39,388713,0.689,0.356,1,1.38,1.02,0,1.0,0.0,0,890,Near-Prime,20000
MERCH_0127,Sharma Fast Food & Chaat,Sharma Kumar,street_food,Ahmedabad,2,26,17,88,104.05,48.62,155658,0.628,0.297,1,0.14,1.24,1,0.69,0.001,0,890,Prime,50000
MERCH_0128,Kamla Pushp Bhandar,Kamla Kumar,flower_vendor,Ahmedabad,2,3,23,51,67.79,15.32,79517,0.85,0.323,1,2.73,1.04,0,1.0,0.0587,0,868,Near-Prime,20000
MERCH_0129,Vikram City Transport,Vikram Kumar,auto_rickshaw,Jaipur,2,74,29,48,40.4,6.31,56236,0.32,0.347,1,0.07,1.26,2,0.91,0.0041,0,885,Prime,50000
MERCH_0130,Kisaan Provision & Kirana,Kisaan Kumar,kirana_store,Varanasi,3,11,29,44,370.93,122.0,473306,0.72,0.421,1,0.08,0.92,0,1.0,0.0,0,890,Near-Prime,20000
MERCH_0131,Laxmi Fresh Vegetables,Laxmi Singh,vegetable_vendor,Varanasi,3,2,22,18,162.87,75.0,64496,0.726,0.467,1,0.8,0.84,0,1.0,0.0226,0,890,Near-Prime,20000
